City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Pedernales,DO,2022-07-22 21:08:42,18.0384,-71.744,89.73,55,60,14.5
176,Husavik,IS,2022-07-22 21:08:42,66.0449,-17.3389,50.41,84,36,3.94
177,Maceio,BR,2022-07-22 21:04:12,-9.6658,-35.7353,74.64,88,100,4.61
178,Barcelos,PT,2022-07-22 21:07:44,41.5388,-8.6151,74.84,66,0,5.28
179,Port Elizabeth,ZA,2022-07-22 21:08:43,-33.918,25.5701,58.32,79,100,5.99
180,Khatanga,RU,2022-07-22 21:08:43,71.9667,102.5,43.38,89,100,15.32
181,Dogondoutchi,NE,2022-07-22 21:09:44,13.6393,4.0287,90.28,46,91,4.54
182,Mombasa,KE,2022-07-22 21:09:44,-4.0547,39.6636,72.84,84,3,11.61
183,San Andres,CO,2022-07-22 21:09:45,12.5847,-81.7006,82.42,89,75,6.91
184,Longyearbyen,SJ,2022-07-22 21:09:45,78.2186,15.6401,48.04,87,75,5.75
185,Grand Gaube,MU,2022-07-22 21:09:45,-20.0064,57.6608,68.38,73,1,5.01
186,Ancud,CL,2022-07-22 21:09:46,-41.8697,-73.8203,41.23,97,100,14.5
187,Atasu,KZ,2022-07-22 21:09:46,48.6814,71.6433,65.97,42,7,8.52
188,Barrow,US,2022-07-22 21:09:46,71.2906,-156.7887,41.02,87,100,11.5
189,Lima,PE,2022-07-22 21:08:52,-12.0432,-77.0282,59.25,77,100,6.91
190,Joshimath,IN,2022-07-22 21:09:47,30.5667,79.5667,72.55,92,100,0.89
191,Rizhao,CN,2022-07-22 21:09:47,35.4275,119.4553,75.18,96,100,10.96
192,Orumiyeh,IR,2022-07-22 21:09:48,37.5527,45.0761,74.75,23,0,9.22
193,Nyurba,RU,2022-07-22 21:09:48,63.2842,118.3319,63.16,86,100,3.94
194,Sucua,EC,2022-07-22 21:09:48,-2.4667,-78.1667,77.74,69,75,4.61
195,La Ronge,CA,2022-07-22 21:08:53,55.1001,-105.2842,51.46,80,100,9.1
196,Fujin,CN,2022-07-22 21:09:49,47.26,132.0322,57.92,93,62,7.87
197,Kutum,SD,2022-07-22 21:09:49,14.2,24.6667,82.67,35,6,9.24
198,Teguise,ES,2022-07-22 21:09:49,29.0605,-13.564,71.82,83,40,21.85
199,Praya,CV,2022-07-22 21:07:36,14.9215,-23.5087,76.59,80,73,3.04
200,Zhigansk,RU,2022-07-22 21:09:50,66.7697,123.3711,53.56,92,100,5.41
201,Aksu,CN,2022-07-22 21:09:50,41.1231,80.2644,80.85,23,0,2.01
202,Vardo,NO,2022-07-22 21:09:51,70.3705,31.1107,51.78,87,75,4.61
203,Ponta Do Sol,PT,2022-07-22 21:09:51,32.6667,-17.1,72.72,80,5,7.09
204,Kapuskasing,CA,2022-07-22 21:06:08,49.4169,-82.4331,68.09,73,100,13.8
205,Serro,BR,2022-07-22 21:09:52,-18.6047,-43.3794,65.97,53,1,4.5
206,Vestmannaeyjar,IS,2022-07-22 21:09:52,63.4427,-20.2734,51.53,91,100,3.76
207,Iaciara,BR,2022-07-22 21:09:52,-14.0958,-46.6317,78.64,28,0,4.45
208,Praia Da Vitoria,PT,2022-07-22 21:06:02,38.7333,-27.0667,74.75,93,100,2.73
209,Rafaela,AR,2022-07-22 21:09:53,-31.2503,-61.4867,73.0,44,0,3.0
210,Vaini,TO,2022-07-22 21:09:53,-21.2,-175.2,75.36,94,20,11.5
211,Yamada,JP,2022-07-22 21:09:54,39.4667,141.95,73.15,97,61,1.36
212,Nuuk,GL,2022-07-22 21:09:54,64.1835,-51.7216,47.01,81,20,11.01
213,Soubre,CI,2022-07-22 21:09:54,5.7856,-6.6083,71.49,82,92,4.74
214,Rorvik,NO,2022-07-22 21:09:55,64.8621,11.2373,53.58,93,75,3.44
215,Lagoa,PT,2022-07-22 21:09:55,39.05,-27.9833,72.48,90,100,8.95
216,Hobyo,SO,2022-07-22 21:09:55,5.3505,48.5268,76.01,81,26,23.85
217,Pingliang,CN,2022-07-22 21:09:56,35.5392,106.6861,60.75,84,0,2.53
218,Moose Factory,CA,2022-07-22 21:09:56,51.2585,-80.6094,69.78,78,40,8.05
219,Chipinge,ZW,2022-07-22 21:09:57,-20.1883,32.6236,53.8,85,47,4.97
220,Petrodvorets,RU,2022-07-22 21:09:57,59.885,29.8958,71.58,74,10,7.29
221,Baykit,RU,2022-07-22 21:09:57,61.67,96.37,57.78,96,99,3.24
222,Progreso,MX,2022-07-22 21:09:58,21.2833,-89.6667,87.91,72,71,17.2
223,Tasiilaq,GL,2022-07-22 21:09:58,65.6145,-37.6368,37.56,70,34,7.9
224,Ust-Koksa,RU,2022-07-22 21:09:59,50.2696,85.6108,49.75,87,13,0.47
225,Xintai,CN,2022-07-22 21:09:59,35.9006,117.7519,69.94,95,100,9.17
226,Vyazma,RU,2022-07-22 21:10:59,55.2104,34.2951,59.61,80,16,5.23
227,Fairbanks,US,2022-07-22 21:10:02,64.8378,-147.7164,57.54,75,75,3.44
228,Lashio,MM,2022-07-22 21:08:08,22.9333,97.75,67.57,99,96,0.92
229,Sao Filipe,CV,2022-07-22 21:11:00,14.8961,-24.4956,75.42,80,85,4.09
230,Sakakah,SA,2022-07-22 21:09:33,29.9697,40.2064,94.32,16,1,11.34
231,Rethimnon,GR,2022-07-22 21:11:00,35.3647,24.4714,80.22,49,0,2.8
232,Haradok,BY,2022-07-22 21:11:01,55.4624,29.9816,61.47,77,96,2.08
233,Cairns,AU,2022-07-22 21:11:01,-16.9167,145.7667,65.07,90,40,11.5
234,Namibe,AO,2022-07-22 21:11:01,-15.1961,12.1522,62.29,87,7,1.45
235,Benguela,AO,2022-07-22 21:11:02,-12.5763,13.4055,68.49,83,100,3.87
236,Albion,US,2022-07-22 21:11:02,42.2431,-84.753,89.19,52,0,5.75
237,Akdepe,TM,2022-07-22 21:11:02,42.0551,59.3788,95.0,16,0,9.53
238,High Rock,BS,2022-07-22 21:11:03,26.6208,-78.2833,87.82,70,0,14.36
239,Moerai,PF,2022-07-22 21:11:03,-22.4333,-151.3333,73.04,59,79,12.88
240,Mitsamiouli,KM,2022-07-22 21:11:04,-11.3847,43.2844,75.52,74,0,7.02
241,Edgemere,US,2022-07-22 21:11:04,39.2421,-76.448,97.97,47,40,10.36
242,Pyshma,RU,2022-07-22 21:11:04,56.9523,63.2513,57.04,88,70,6.8
243,Algiers,DZ,2022-07-22 21:11:05,36.7525,3.042,76.82,83,40,4.61
244,Lompoc,US,2022-07-22 21:11:05,34.6391,-120.4579,89.78,69,0,18.41
245,Nikolskoye,RU,2022-07-22 21:09:11,59.7035,30.7861,71.49,72,17,6.33
246,Saint-Georges,GD,2022-07-22 21:11:05,12.0564,-61.7485,81.81,73,0,13.04
247,Rockland,US,2022-07-22 21:11:06,41.1668,-74.0496,96.24,41,18,10.11
248,Pierre,US,2022-07-22 21:11:06,44.3683,-100.351,97.86,31,0,8.99
249,Mandera,KE,2022-07-22 21:11:07,3.9366,41.867,79.3,53,35,20.24
250,Viedma,AR,2022-07-22 21:11:07,-40.8135,-62.9967,46.9,51,98,2.89
251,Mandalgovi,MN,2022-07-22 21:11:07,45.7625,106.2708,58.32,54,13,9.13
252,Thap Than,TH,2022-07-22 21:11:08,15.4606,99.8917,80.71,90,100,2.13
253,Asau,RO,2022-07-22 21:11:08,46.4333,26.4,72.95,71,5,4.43
254,Kununurra,AU,2022-07-22 21:09:06,-15.7667,128.7333,51.78,87,41,0.0
255,San Carlos,VE,2022-07-22 21:11:08,9.6612,-68.5827,85.08,68,41,5.26
256,Lubango,AO,2022-07-22 21:11:09,-14.9172,13.4925,59.77,30,0,3.44
257,Mirandola,IT,2022-07-22 21:11:09,44.8868,11.0662,86.63,30,57,5.35
258,Liaqatabad,PK,2022-07-22 21:11:10,31.5647,74.3029,82.44,83,40,5.75
259,Mantua,IT,2022-07-22 21:11:10,45.1667,10.7833,88.84,54,55,1.99
260,Sinop,TR,2022-07-22 21:11:10,41.7711,34.8709,59.65,64,1,5.68
261,Axim,GH,2022-07-22 21:11:11,4.8699,-2.2405,75.34,76,88,7.74
262,Fort-Shevchenko,KZ,2022-07-22 21:11:11,44.5086,50.263,77.34,66,93,13.85
263,Rayong,TH,2022-07-22 21:11:11,12.8333,101.4333,80.8,99,100,2.68
264,Wawa,NG,2022-07-22 21:11:12,9.9022,4.4192,74.61,91,99,4.65
265,Brae,GB,2022-07-22 21:11:12,60.3964,-1.353,51.44,76,100,8.3
266,Coffs Harbour,AU,2022-07-22 21:11:12,-30.3,153.1333,55.36,88,75,14.97
267,Koumac,NC,2022-07-22 21:11:13,-20.5667,164.2833,76.78,84,99,10.31
268,Cedar City,US,2022-07-22 21:11:13,37.6775,-113.0619,96.4,13,0,17.27
269,Ola,RU,2022-07-22 21:11:14,59.5833,151.2833,66.15,69,39,2.42
270,Koslan,RU,2022-07-22 21:11:14,63.4564,48.8989,60.1,63,52,4.54
271,Hambantota,LK,2022-07-22 21:11:14,6.1241,81.1185,78.78,83,98,18.43
272,East London,ZA,2022-07-22 21:11:15,-33.0153,27.9116,68.29,39,11,7.25
273,Narsaq,GL,2022-07-22 21:12:15,60.9167,-46.05,62.82,64,56,5.39
274,Mayo,US,2022-07-22 21:12:16,38.8876,-76.5119,96.94,59,0,11.5
275,Ketchikan,US,2022-07-22 21:12:16,55.3422,-131.6461,64.87,68,75,12.66
276,Sinnamary,GF,2022-07-22 21:12:16,5.3833,-52.95,80.6,79,50,7.09
277,Nefteyugansk,RU,2022-07-22 21:12:17,61.0998,72.6035,49.15,68,19,6.31
278,Ribeira Grande,PT,2022-07-22 21:12:17,38.5167,-28.7,75.6,88,40,8.05
279,Shizunai,JP,2022-07-22 21:11:17,42.3339,142.3669,66.52,96,100,4.5
280,Mnogovershinnyy,RU,2022-07-22 21:12:17,53.9353,139.9242,57.09,62,90,2.33
281,Marrakesh,MA,2022-07-22 21:12:18,31.6315,-8.0083,96.87,20,75,6.91
282,Rio Gallegos,AR,2022-07-22 21:12:18,-51.6226,-69.2181,35.65,75,0,14.97
283,Te Anau,NZ,2022-07-22 21:12:18,-45.4167,167.7167,32.74,93,74,1.7
284,Rawalpindi,PK,2022-07-22 21:12:19,33.6007,73.0679,81.23,83,82,4.74
285,Kostomuksha,RU,2022-07-22 21:12:19,64.571,30.5767,58.77,82,27,5.46
286,Srednekolymsk,RU,2022-07-22 21:12:20,67.45,153.6833,49.15,60,13,12.19
287,Kalispell,US,2022-07-22 21:12:19,48.1958,-114.3129,76.68,42,100,8.05
288,Prainha,BR,2022-07-22 21:12:20,-1.8,-53.48,82.58,64,98,2.86
289,Pucallpa,PE,2022-07-22 21:12:20,-8.3791,-74.5539,87.84,62,40,5.75
290,Ust-Ilimsk,RU,2022-07-22 21:12:21,58.0006,102.6619,60.6,78,100,3.96
291,Namuac,PH,2022-07-22 21:12:21,18.6109,121.1657,80.28,84,13,4.07
292,Mahebourg,MU,2022-07-22 21:12:21,-20.4081,57.7,68.25,78,6,16.87
293,Ojinaga,MX,2022-07-22 21:12:22,29.5667,-104.4167,103.15,29,40,9.22
